"LOB","class_code","class_code_desc","auto_size_class","auto_size_class_type","auto_size_class_weight","auto_business_use_class","auto_radius_class","auto_fleet","auto_classification","auto_subclassification","auto_type","auto_subtype"
AL,"01111",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Manufacturers,Chemical,"Truck, Tractor, or Trailer",
AL,"01112",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Manufacturers,Furniture,"Truck, Tractor, or Trailer",
AL,"01113",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Manufacturers,Garment,"Truck, Tractor, or Trailer",
AL,"01114",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Manufacturers,Machinery,"Truck, Tractor, or Trailer",
AL,"01115",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Manufacturers,Metal,"Truck, Tractor, or Trailer",
AL,"01116",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Manufacturers,Structural Iron or Steel,"Truck, Tractor, or Trailer",
AL,"01119",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Manufacturers,NOC,"Truck, Tractor, or Trailer",
AL,"01121",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Truckers,Common Carriers,"Truck, Tractor, or Trailer",
AL,"01122",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Truckers,Contract Carriers - NOC,"Truck, Tractor, or Trailer",
AL,"01123",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Truckers,Contract Carriers - Hauling Chemicals,"Truck, Tractor, or Trailer",
AL,"01124",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Truckers,Contract Carriers - Hauling Iron and Steel,"Truck, Tractor, or Trailer",
AL,"01125",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Truckers,Exempt Carriers - NOC,"Truck, Tractor, or Trailer",
AL,"01126",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Truckers,Exempt Carriers - Hauling Livestock,"Truck, Tractor, or Trailer",
AL,"01127",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Truckers,Contract Carriers - Hauling Petroleum or Petroleum Products,"Truck, Tractor, or Trailer",
AL,"01129",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Truckers,NOC,"Truck, Tractor, or Trailer",
AL,"01131",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Food Delivery,Canneries an Packing Plants,"Truck, Tractor, or Trailer",
AL,"01132",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Food Delivery,Fish and Seafood,"Truck, Tractor, or Trailer",
AL,"01133",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Food Delivery,Frozen Food,"Truck, Tractor, or Trailer",
AL,"01134",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Food Delivery,Fruit and Vegetable,"Truck, Tractor, or Trailer",
AL,"01135",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Food Delivery,Meat or Poultry,"Truck, Tractor, or Trailer",
AL,"01139",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Food Delivery,NOC,"Truck, Tractor, or Trailer",
AL,"01141",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Specialized Delivery,Armored Cars,"Truck, Tractor, or Trailer",
AL,"01142",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Specialized Delivery,Film Delivery,"Truck, Tractor, or Trailer",
AL,"01143",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Specialized Delivery,Magazines or Newspapers,"Truck, Tractor, or Trailer",
AL,"01144",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Specialized Delivery,Mail and Parcel Post,"Truck, Tractor, or Trailer",
AL,"01149",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Specialized Delivery,NOC,"Truck, Tractor, or Trailer",
AL,"01151",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Waste Disposal,Automobile Dismantlers,"Truck, Tractor, or Trailer",
AL,"01152",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Waste Disposal,Building Wrecking Operators,"Truck, Tractor, or Trailer",
AL,"01153",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Waste Disposal,Garbage,"Truck, Tractor, or Trailer",
AL,"01154",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Waste Disposal,Junk Dealers,"Truck, Tractor, or Trailer",
AL,"01161",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Farmers,Individually Owned or Family Corp. - Other Than Livestock Hauling,"Truck, Tractor, or Trailer",
AL,"01162",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Farmers,Livestock Hauling,"Truck, Tractor, or Trailer",
AL,"01169",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Farmers,NOC,"Truck, Tractor, or Trailer",
AL,"01171",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Dump and Transit Mix Trucks and Trailers,Excavating,"Truck, Tractor, or Trailer",
AL,"01172",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Dump and Transit Mix Trucks and Trailers,Sand and Gravel - Other than Quarrying,"Truck, Tractor, or Trailer",
AL,"01173",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Dump and Transit Mix Trucks and Trailers,Mining,"Truck, Tractor, or Trailer",
AL,"01174",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Dump and Transit Mix Trucks and Trailers,Quarrying,"Truck, Tractor, or Trailer",
AL,"01179",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Dump and Transit Mix Trucks and Trailers,NOC,"Truck, Tractor, or Trailer",
AL,"01181",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Contractors - Other Than Dump Trucks,Building - Commercial,"Truck, Tractor, or Trailer",
AL,"01182",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Contractors - Other Than Dump Trucks,Building - Private Dwellings,"Truck, Tractor, or Trailer",
AL,"01183",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Contractors - Other Than Dump Trucks,"Electrical, Plumbing, Masonry, Plastering and Other Repair or Service","Truck, Tractor, or Trailer",
AL,"01184",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Contractors - Other Than Dump Trucks,Excavating,"Truck, Tractor, or Trailer",
AL,"01185",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Contractors - Other Than Dump Trucks,Street and Road,"Truck, Tractor, or Trailer",
AL,"01189",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,Contractors - Other Than Dump Trucks,NOC,"Truck, Tractor, or Trailer",
AL,"01191",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,NOC,Logging and Lumbering,"Truck, Tractor, or Trailer",
AL,"01192",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,NOC,Petroleum Business,"Truck, Tractor, or Trailer",
AL,"01199",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Local Up to 50 Miles,N,NOC,NOC,"Truck, Tractor, or Trailer",
AL,"01211",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Manufacturers,Chemical,"Truck, Tractor, or Trailer",
AL,"01212",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Manufacturers,Furniture,"Truck, Tractor, or Trailer",
AL,"01213",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Manufacturers,Garment,"Truck, Tractor, or Trailer",
AL,"01214",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Manufacturers,Machinery,"Truck, Tractor, or Trailer",
AL,"01215",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Manufacturers,Metal,"Truck, Tractor, or Trailer",
AL,"01216",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Manufacturers,Structural Iron or Steel,"Truck, Tractor, or Trailer",
AL,"01219",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Manufacturers,NOC,"Truck, Tractor, or Trailer",
AL,"01221",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Truckers,Common Carriers,"Truck, Tractor, or Trailer",
AL,"01222",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Truckers,Contract Carriers - NOC,"Truck, Tractor, or Trailer",
AL,"01223",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Truckers,Contract Carriers - Hauling Chemicals,"Truck, Tractor, or Trailer",
AL,"01224",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Truckers,Contract Carriers - Hauling Iron and Steel,"Truck, Tractor, or Trailer",
AL,"01225",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Truckers,Exempt Carriers - NOC,"Truck, Tractor, or Trailer",
AL,"01226",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Truckers,Exempt Carriers - Hauling Livestock,"Truck, Tractor, or Trailer",
AL,"01227",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Truckers,Contract Carriers - Hauling Petroleum or Petroleum Products,"Truck, Tractor, or Trailer",
AL,"01229",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Truckers,NOC,"Truck, Tractor, or Trailer",
AL,"01231",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Food Delivery,Canneries an Packing Plants,"Truck, Tractor, or Trailer",
AL,"01232",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Food Delivery,Fish and Seafood,"Truck, Tractor, or Trailer",
AL,"01233",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Food Delivery,Frozen Food,"Truck, Tractor, or Trailer",
AL,"01234",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Food Delivery,Fruit and Vegetable,"Truck, Tractor, or Trailer",
AL,"01235",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Food Delivery,Meat or Poultry,"Truck, Tractor, or Trailer",
AL,"01239",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Food Delivery,NOC,"Truck, Tractor, or Trailer",
AL,"01241",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Specialized Delivery,Armored Cars,"Truck, Tractor, or Trailer",
AL,"01242",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Specialized Delivery,Film Delivery,"Truck, Tractor, or Trailer",
AL,"01243",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Specialized Delivery,Magazines or Newspapers,"Truck, Tractor, or Trailer",
AL,"01244",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Specialized Delivery,Mail and Parcel Post,"Truck, Tractor, or Trailer",
AL,"01249",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Specialized Delivery,NOC,"Truck, Tractor, or Trailer",
AL,"01251",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Waste Disposal,Automobile Dismantlers,"Truck, Tractor, or Trailer",
AL,"01252",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Waste Disposal,Building Wrecking Operators,"Truck, Tractor, or Trailer",
AL,"01253",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Waste Disposal,Garbage,"Truck, Tractor, or Trailer",
AL,"01254",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Waste Disposal,Junk Dealers,"Truck, Tractor, or Trailer",
AL,"01261",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Farmers,Individually Owned or Family Corp. - Other Than Livestock Hauling,"Truck, Tractor, or Trailer",
AL,"01262",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Farmers,Livestock Hauling,"Truck, Tractor, or Trailer",
AL,"01269",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Farmers,NOC,"Truck, Tractor, or Trailer",
AL,"01271",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Dump and Transit Mix Trucks and Trailers,Excavating,"Truck, Tractor, or Trailer",
AL,"01272",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Dump and Transit Mix Trucks and Trailers,Sand and Gravel - Other than Quarrying,"Truck, Tractor, or Trailer",
AL,"01273",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Dump and Transit Mix Trucks and Trailers,Mining,"Truck, Tractor, or Trailer",
AL,"01274",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Dump and Transit Mix Trucks and Trailers,Quarrying,"Truck, Tractor, or Trailer",
AL,"01279",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Dump and Transit Mix Trucks and Trailers,NOC,"Truck, Tractor, or Trailer",
AL,"01281",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Contractors - Other Than Dump Trucks,Building - Commercial,"Truck, Tractor, or Trailer",
AL,"01282",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Contractors - Other Than Dump Trucks,Building - Private Dwellings,"Truck, Tractor, or Trailer",
AL,"01283",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Contractors - Other Than Dump Trucks,"Electrical, Plumbing, Masonry, Plastering and Other Repair or Service","Truck, Tractor, or Trailer",
AL,"01284",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Contractors - Other Than Dump Trucks,Excavating,"Truck, Tractor, or Trailer",
AL,"01285",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Contractors - Other Than Dump Trucks,Street and Road,"Truck, Tractor, or Trailer",
AL,"01289",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,Contractors - Other Than Dump Trucks,NOC,"Truck, Tractor, or Trailer",
AL,"01291",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,NOC,Logging and Lumbering,"Truck, Tractor, or Trailer",
AL,"01292",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,NOC,Petroleum Business,"Truck, Tractor, or Trailer",
AL,"01299",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Intermediate 51-200 Miles,N,NOC,NOC,"Truck, Tractor, or Trailer",
AL,"01311",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Manufacturers,Chemical,"Truck, Tractor, or Trailer",
AL,"01312",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Manufacturers,Furniture,"Truck, Tractor, or Trailer",
AL,"01313",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Manufacturers,Garment,"Truck, Tractor, or Trailer",
AL,"01314",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Manufacturers,Machinery,"Truck, Tractor, or Trailer",
AL,"01315",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Manufacturers,Metal,"Truck, Tractor, or Trailer",
AL,"01316",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Manufacturers,Structural Iron or Steel,"Truck, Tractor, or Trailer",
AL,"01319",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Manufacturers,NOC,"Truck, Tractor, or Trailer",
AL,"01321",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Truckers,Common Carriers,"Truck, Tractor, or Trailer",
AL,"01322",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Truckers,Contract Carriers - NOC,"Truck, Tractor, or Trailer",
AL,"01323",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Truckers,Contract Carriers - Hauling Chemicals,"Truck, Tractor, or Trailer",
AL,"01324",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Truckers,Contract Carriers - Hauling Iron and Steel,"Truck, Tractor, or Trailer",
AL,"01325",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Truckers,Exempt Carriers - NOC,"Truck, Tractor, or Trailer",
AL,"01326",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Truckers,Exempt Carriers - Hauling Livestock,"Truck, Tractor, or Trailer",
AL,"01327",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Truckers,Contract Carriers - Hauling Petroleum or Petroleum Products,"Truck, Tractor, or Trailer",
AL,"01329",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Truckers,NOC,"Truck, Tractor, or Trailer",
AL,"01331",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Food Delivery,Canneries an Packing Plants,"Truck, Tractor, or Trailer",
AL,"01332",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Food Delivery,Fish and Seafood,"Truck, Tractor, or Trailer",
AL,"01333",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Food Delivery,Frozen Food,"Truck, Tractor, or Trailer",
AL,"01334",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Food Delivery,Fruit and Vegetable,"Truck, Tractor, or Trailer",
AL,"01335",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Food Delivery,Meat or Poultry,"Truck, Tractor, or Trailer",
AL,"01339",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Food Delivery,NOC,"Truck, Tractor, or Trailer",
AL,"01341",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Specialized Delivery,Armored Cars,"Truck, Tractor, or Trailer",
AL,"01342",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Specialized Delivery,Film Delivery,"Truck, Tractor, or Trailer",
AL,"01343",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Specialized Delivery,Magazines or Newspapers,"Truck, Tractor, or Trailer",
AL,"01344",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Specialized Delivery,Mail and Parcel Post,"Truck, Tractor, or Trailer",
AL,"01349",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Specialized Delivery,NOC,"Truck, Tractor, or Trailer",
AL,"01351",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Waste Disposal,Automobile Dismantlers,"Truck, Tractor, or Trailer",
AL,"01352",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Waste Disposal,Building Wrecking Operators,"Truck, Tractor, or Trailer",
AL,"01353",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Waste Disposal,Garbage,"Truck, Tractor, or Trailer",
AL,"01354",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Waste Disposal,Junk Dealers,"Truck, Tractor, or Trailer",
AL,"01361",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Farmers,Individually Owned or Family Corp. - Other Than Livestock Hauling,"Truck, Tractor, or Trailer",
AL,"01362",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Farmers,Livestock Hauling,"Truck, Tractor, or Trailer",
AL,"01369",TTT,"Light Trucks (0-10,000 lbs. GVW)",Light Trucks,"0-10,000 lbs. GVW",Service,Long Distance Over 200 Miles,N,Farmers,NOC,"Truck, Tractor, or Trailer",
